Politician,VideoId
Barrack Obama,lpX9k_YhUTQ
Barrack Obama,muHLCw16cb8
Barrack Obama,iH1ZJVqJO3Y
Gretchen Whitmer,fD0N6EBBVXs
Gretchen Whitmer,itz40C3VlmU
Gretchen Whitmer,EK4oAHFBCNo
Gretchen Whitmer,YPQcWEX7LMo
Gretchen Whitmer,28BgABLHnq4
Gretchen Whitmer,kUlKLJ1Dsvk
Gretchen Whitmer,WpjOfVfOGvE
Gretchen Whitmer,ImUl5tGv16Y
Gretchen Whitmer,S1Ql2lGwq-s
Gretchen Whitmer,_OU9Fn1T8b8
Gretchen Whitmer,hVFNX2G1-pw
Gretchen Whitmer,6E8S6I-m_hg
Gretchen Whitmer,7LGhSE2e0Qg
Gretchen Whitmer,_u7pPJkWHr0
Gretchen Whitmer,BsuJqfd2xcI
Gretchen Whitmer,Tx9PXCf-T-M
Gretchen Whitmer,0tvXkjg7mns
Gretchen Whitmer,lAQ5xFCUWDI
Gretchen Whitmer,JPBRJTZ4CPs
Gretchen Whitmer,AUAwiY2oaeM
Gretchen Whitmer,h5uNjboHeOo
Gretchen Whitmer,3ZaTQ7NIa7s
Gretchen Whitmer,i8pyMzrIbzo
Gretchen Whitmer,MTfK6r9WrQE
Gretchen Whitmer,mAReol4YryY
Gretchen Whitmer,bbIStCafLgA
Gretchen Whitmer,DTPWcatQ2ro
Gretchen Whitmer,xLoZcZs4BCc
Gretchen Whitmer,a4_Iqlaw58U
Gretchen Whitmer,7MYH_X1evWg
Gretchen Whitmer,pyiAnrUp6Ss
Gretchen Whitmer,zN-s6o5m2K0
Gretchen Whitmer,6ZEEJJ9kjNY
Gretchen Whitmer,Ih0cjLekGAg
Gretchen Whitmer,dZYrYlzkx0g
Gretchen Whitmer,QNIGV_NLEpA
Gretchen Whitmer,ljLFlLK0hfk
Gretchen Whitmer,MzYKHhWmrF4
Gretchen Whitmer,soV2gnpFEsE
Gretchen Whitmer,g9EbPSh0uhA
Gretchen Whitmer,fJ1SIPti3xo
Gretchen Whitmer,BgTQEpQ3Yc8
Gretchen Whitmer,bcZEqUACCHQ
Gretchen Whitmer,Lwk5vTkYikg
Gretchen Whitmer,zi2gv45W6Os
Gretchen Whitmer,RXo7ZNh6U-s
Gretchen Whitmer,hmvVF6vDAto
James David Vance,d-Cu8FOqHrs
James David Vance,lKU9nlR-cQI
James David Vance,t3-aoAUNN-k
James David Vance,G_rLfllO5-M
James David Vance,yCN0PommAjg
James David Vance,6HwFEZ4BPfY
James David Vance,sz4KH3mzG8Y
James David Vance,dUIsyAevXN8
James David Vance,3btwDGtDAjk
James David Vance,K3qYJoSV0lI
James David Vance,X6fS_JiQ-yU
James David Vance,m8VgwhjSrVg
James David Vance,gYgj0TVgMrQ
James David Vance,RyloqoIwq1M
James David Vance,TTVVtEwbzXg
James David Vance,cNGYMbeLfy4
James David Vance,wVvuTKWzOcs
James David Vance,32_6Pom1Mz8
James David Vance,BxFlBGvPgF8
James David Vance,QMJsVpUbet0
James David Vance,MMgI-VFJ_eI
James David Vance,GeGwc8rtxM4
James David Vance,9bzsifm_SNE
James David Vance,Ry_pkfj9sN0
James David Vance,dC5rtRu4_zc
James David Vance,cxddwfvPE8E
James David Vance,B02sEcHjW-Y
James David Vance,tXXUUnrhwf0
James David Vance,4RUGu0RghX4
James David Vance,x8Uc257Y9gw
James David Vance,z-_dghrXgVs
James David Vance,rkohH0Cez_k
James David Vance,b0Sl2PP2FxQ
James David Vance,UJEwE9lYHms
James David Vance,2mTQz6NVBxw
James David Vance,oy_Dowqtthw
James David Vance,S4JroNd4F3Q
James David Vance,GUrkFEShr84
James David Vance,z_Cv-tLan04
James David Vance,6NBNoKsiFA4
James David Vance,SUQWjeGom6U
James David Vance,RW-UnN3qs48
James David Vance,BEP86K7PMFU
James David Vance,IsE1i2LDGLI
James David Vance,jJiCTr9zOaE
James David Vance,0FR65Cifnhw
James David Vance,8b85PS7lwjU
James David Vance,O6JRhmneTHQ
James David Vance,jjJzobr5o6s
James David Vance,dBMuZbSL50M
James David Vance,P4qy13z7foA
James David Vance,BrjJdpUaYiU
James David Vance,LU0Qgn6XFwA
James David Vance,C-tgLdKPPVA
