videoId,title,description,channelTitle,publishedAt,videoId.1,politician
rEDGPc6fQoA,President Obama Speaks at the 2012 Tribal Nations Conference Closing Session,President Obama speaks to leaders of American Indian and Alaska Native communities in the opening session of the 2012 White ...,The Obama White House,2012-12-05T21:41:43Z,rEDGPc6fQoA,Barack Obama
yre-bA8zwqA,President Obama &amp; the First Lady: Conference on Bullying Prevention,The President and First Lady Michelle Obama discuss how we can all work together to end bullying as an accepted practice and ...,The Obama White House,2011-03-10T18:18:48Z,yre-bA8zwqA,Barack Obama
i4wV4_NRAP0,President Obama&#39;s Bilateral Meeting with President Vladimir Putin of Russia,"President Obama and President Vladimir Putin of Russia speak to the press after a bilateral meeting in Los Cabos, Mexico.",The Obama White House,2012-06-19T21:01:36Z,i4wV4_NRAP0,Barack Obama
ShP8hQ431HU,President Obama Meets with Prime Minister Netanyahu,President Obama and Israeli Prime Minister Benjamin Netanyahu speak to the press after meeting in the Oval Office. May 20 ...,The Obama White House,2011-05-20T21:40:41Z,ShP8hQ431HU,Barack Obama
F-rLz58T_Z0,President Obama and Prime Minister Gillard of Australia,President Obama and Prime Minister Julia Gillard of Australia speak to the press after their meetings. The President also ...,The Obama White House,2011-03-07T18:09:12Z,F-rLz58T_Z0,Barack Obama
wKZSm2kecnA,Obama&#39;s Final Message To The Press: Good luck!,"In his final visit to the White House briefing room, President Obama discussed Russia, health care and jobs. He also essentially ...",The Late Show with Stephen Colbert,2017-01-19T08:35:00Z,wKZSm2kecnA,Barack Obama
b715GKJNWXA,The President Speaks on the Supreme Court’s Decision on Marriage Equality,President Obama delivers remarks in the Rose Garden heralding the Supreme Court's ruling that gay and lesbian couples have ...,The Obama White House,2015-06-26T17:06:27Z,b715GKJNWXA,Barack Obama
S7uutvG-HTY,President Obama and King Salman Deliver Statements to the Press,"Riyadh, Saudi Arabia.",The Obama White House,2016-04-21T16:53:02Z,S7uutvG-HTY,Barack Obama
XFi17DTCbZ0,President Obama Nominates John Kerry for Secretary of State,President Obama announces Senator John Kerry as his nominee to replace Hillary Clinton as Secretary of State. December 21 ...,The Obama White House,2012-12-21T19:49:05Z,XFi17DTCbZ0,Barack Obama
0O0kwvFtEl0,President-Elect Barack Obama on American Jobs,"At his first press conference since being elected President, Barack Obama spoke about new job numbers and steps the ...",ChangeDotGov,2008-11-07T21:20:17Z,0O0kwvFtEl0,Barack Obama
